counterexample_type,symbol,episode_id,detail
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00001,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00002,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00003,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00004,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00005,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00006,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00007,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00008,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00009,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00010,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00011,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00012,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00013,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00014,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00015,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00016,NO_EXACT_STRATUM_SUPPORT
UNMATCHED_CONTROL,BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00017,NO_EXACT_STRATUM_SUPPORT
