move_id,direction,detected_A,detected_B,detected_C,delay_A,delay_B,delay_C,why_A_not_fired,why_B_not_fired,why_C_not_fired,first_causal_visible_change,first_causal_visible_description,available_data_on_first_change_bar
M01,LONG,True,True,True,22.0,83.0,28.0,detected,detected,detected,2023-10-19 12:00:00,directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=0.2451; EMA27=0.2460; EMA200=0.2519; ATR14=0.0028; ema27_slope_5=-0.001513
M02,SHORT,True,False,True,58.0,,65.0,detected,20-bar expansion criteria appeared only after the reference matching window,detected,2023-12-28 12:00:00,closed-bar local structure break; price crossed and held beyond EMA27 on close; directional body expanded versus recent median,OHLC closed; close=0.6177; EMA27=0.6209; EMA200=0.5387; ATR14=0.0254; ema27_slope_5=0.010196
M03,LONG,False,False,False,,,,overlapping active move was opposite direction (START_A_AM027),20-bar expansion criteria appeared only after the reference matching window,overlapping active move was opposite direction (START_C_AM019),2024-01-08 12:00:00,directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=0.5119; EMA27=0.5284; EMA200=0.5521; ATR14=0.0164; ema27_slope_5=-0.015027
M04,LONG,True,False,True,14.0,,65.0,detected,overlapping active move was opposite direction (START_B_AM010),detected,2024-02-07 20:00:00,closed-bar local structure break; price crossed and held beyond EMA27 on close; directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=0.5020; EMA27=0.4963; EMA200=0.5120; ATR14=0.0087; ema27_slope_5=-0.003840
M05,LONG,True,True,True,17.0,116.0,16.0,detected,detected,detected,2024-02-24 12:00:00,first higher low/lower high sequence visible on closed bars; old-direction extreme stopped updating,OHLC closed; close=0.5889; EMA27=0.5930; EMA200=0.5580; ATR14=0.0138; ema27_slope_5=-0.003671
M06,SHORT,False,False,True,,,33.0,overlapping active move was opposite direction (START_A_AM036),overlapping active move was opposite direction (START_B_AM011),detected,2024-03-14 12:00:00,price crossed and held beyond EMA27 on close; directional body expanded versus recent median,OHLC closed; close=0.7478; EMA27=0.7539; EMA200=0.6681; ATR14=0.0274; ema27_slope_5=0.007485
M07,SHORT,True,True,True,12.0,11.0,11.0,detected,detected,detected,2024-04-09 20:00:00,closed-bar local structure break; price crossed and held beyond EMA27 on close; directional body expanded versus recent median,OHLC closed; close=0.5918; EMA27=0.5973; EMA200=0.6300; ATR14=0.0136; ema27_slope_5=0.002243
M08,SHORT,True,True,True,21.0,54.0,54.0,detected,detected,detected,2024-05-22 04:00:00,closed-bar local structure break; first higher low/lower high sequence visible on closed bars,OHLC closed; close=0.4903; EMA27=0.4832; EMA200=0.4786; ATR14=0.0113; ema27_slope_5=0.004811
M09,LONG,True,False,True,52.0,,51.0,detected,20-bar expansion criteria appeared only after the reference matching window,detected,2024-07-05 20:00:00,first higher low/lower high sequence visible on closed bars; old-direction extreme stopped updating,OHLC closed; close=0.3496; EMA27=0.3772; EMA200=0.4072; ATR14=0.0161; ema27_slope_5=-0.013535
M10,SHORT,True,True,True,59.0,83.0,58.0,detected,detected,detected,2024-07-16 16:00:00,first higher low/lower high sequence visible on closed bars; old-direction extreme stopped updating,OHLC closed; close=0.4407; EMA27=0.4278; EMA200=0.4050; ATR14=0.0105; ema27_slope_5=0.005580
M11,LONG,True,True,True,72.0,148.0,87.0,detected,detected,detected,2024-10-26 16:00:00,first higher low/lower high sequence visible on closed bars; directional body expanded versus recent median,OHLC closed; close=0.3317; EMA27=0.3423; EMA200=0.3532; ATR14=0.0089; ema27_slope_5=-0.005453
M12,SHORT,False,False,False,,,,overlapping active move was opposite direction (START_A_AM071),20-bar expansion criteria appeared only after the reference matching window,overlapping active move was opposite direction (START_C_AM046),2024-12-03 12:00:00,directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=1.1982; EMA27=1.1398; EMA200=0.7976; ATR14=0.0804; ema27_slope_5=0.049890
