case_id,start_time,end_time,direction,assigned_family,why_assigned,start_description,end_description,notes
1,2023-12-08 00:00,2023-12-09 04:00,UP,F1,прототип группы,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=37.04%; duration=8 bars; body_vs_prev10=1.27; close_pos=0.88
2,2023-07-12 20:00,2023-07-14 00:00,UP,F2,прототип группы,"крупная направленная стартовая свеча есть, но продолжение появляется не сразу; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет","окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=26.21%; duration=8 bars; body_vs_prev10=1.87; close_pos=1.00
3,2023-12-13 04:00,2023-12-14 08:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=18.21%; duration=8 bars; body_vs_prev10=0.12; close_pos=0.74
4,2023-12-05 08:00,2023-12-06 12:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=12.89%; duration=8 bars; body_vs_prev10=0.04; close_pos=0.46
5,2023-11-01 12:00,2023-11-02 16:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=12.67%; duration=8 bars; body_vs_prev10=0.21; close_pos=0.30
7,2023-11-15 04:00,2023-11-16 04:00,UP,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=12.06%; duration=7 bars; body_vs_prev10=1.31; close_pos=0.89
8,2023-12-10 12:00,2023-12-11 16:00,DOWN,F3,прототип группы,стартовая свеча не поддерживает итоговое направление или нейтральна; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей,"окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=9.83%; duration=8 bars; body_vs_prev10=0.23; close_pos=0.71
9,2023-10-22 16:00,2023-10-23 20:00,UP,F4,прототип группы,"крупная направленная стартовая свеча есть, но закрытие не у направленного края; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=9.21%; duration=8 bars; body_vs_prev10=1.90; close_pos=0.66
11,2023-12-17 04:00,2023-12-18 08:00,DOWN,F2,похож на прототип 2: large_start_but_no_immediate_followthrough; directional_mid_close_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но продолжение появляется не сразу; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет","окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=8.92%; duration=8 bars; body_vs_prev10=2.38; close_pos=0.08
13,2023-11-12 16:00,2023-11-13 20:00,DOWN,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=7.51%; duration=8 bars; body_vs_prev10=1.06; close_pos=0.30
