counterexample_type,episode_id,event_id,scale,representation,detail
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,1H,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,1H,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,1H,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,1H,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00001,F000090,1H,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,1H,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,1H,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,1H,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,1H,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00002,F000091,1H,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,1H,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,1H,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,1H,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,1H,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00003,F000092,1H,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,1H,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,1H,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,1H,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,1H,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00004,F000093,1H,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,1H,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,1H,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,1H,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,1H,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00005,F000094,1H,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,1H,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,1H,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,1H,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,1H,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00006,F000095,1H,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00007,F000096,15m,FIXED_8,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00007,F000096,15m,DIRECTION_RUN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00007,F000096,15m,ATR_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00007,F000096,15m,CONFIRMED_DIRECTION_CHANGE,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00007,F000096,15m,HYBRID_ORIGIN,NO_CLOSED_BAR
INVALID_REPRESENTATION_OR_HISTORY,FUNDING|FUNDING_HIGH|8H|00007,F000096,1H,FIXED_8,NO_CLOSED_BAR
